4,3745.239598
5,3992.027738
6,3009.705215
7,3172.848039
8,2647.267367
9,2662.461904
10,2547.635957
11,2579.179534
12,2485.759827
13,2440.707567
14,2403.278393
15,2401.079182
16,2357.131445
17,2364.279902
18,2332.581696
19,2331.242577
20,2300.634860
21,2313.688432
22,2287.142532
23,2296.087953
24,2295.897039
25,2289.027032
26,2285.013361
27,2280.157116
28,2280.338490
29,2273.512462
30,2266.679818
31,2270.893186
32,2264.895474
33,2266.064570
34,2262.019001
35,2263.347759
36,2259.233020
37,2261.789596
38,2256.109768
39,2253.673948
40,2256.352365
41,2258.277034
42,2249.510143
43,2255.178199
44,2254.650262
45,2251.854493
46,2249.978971
47,2247.141288
48,2249.504313
49,2245.672409
50,2251.337165
51,2247.059824
52,2248.739957
53,2248.141425
54,2246.873845
55,2248.967392
56,2244.515331
57,2246.063004
58,2248.874845
59,2245.924855
60,2242.825015
61,2244.060362
62,2244.265845
63,2244.975234
64,2243.402745
65,2243.094412
66,2244.511367
67,2244.745239
68,2242.031050
69,2241.633368
70,2243.477509
71,2242.841093
72,2243.023432
73,2242.777386
74,2242.049120
75,2242.113197
76,2241.981282
77,2239.270019
78,2239.151639
79,2240.035982
80,2240.703164
